City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,sikonge,-5.6333,32.7667,19.12,94,100,2.54,TZ,1699908451
309,harstad,68.799,16.5293,-2.99,65,2,6.26,NO,1699908451
310,nagqu,31.5,92.0,-7.2,38,57,1.13,CN,1699908451
311,broome,42.2506,-75.833,8.59,71,100,3.6,US,1699908451
312,howrah,22.5892,88.3103,22.0,83,32,2.57,IN,1699908452
313,komyshuvakha,47.7176,35.5288,8.15,66,100,1.24,UA,1699908452
314,udomlya,57.8794,34.9925,0.99,97,100,3.73,RU,1699908452
315,errachidia,31.9275,-4.4285,21.03,26,0,0.0,MA,1699908452
316,n'zeto,-7.2312,12.8666,26.2,87,87,2.33,AO,1699908452
317,tambura,5.6,27.4667,23.21,85,100,1.53,SS,1699908453
318,sakakah,29.9697,40.2064,23.76,27,79,4.79,SA,1699908453
319,keflavik,64.0049,-22.5624,6.95,56,0,10.29,IS,1699908453
320,kiunga,-6.1219,141.2906,22.55,93,33,0.56,PG,1699908453
321,kenai,60.5544,-151.2583,-1.06,98,0,1.54,US,1699908453
322,siwa oasis,29.2041,25.5195,21.58,37,0,4.13,EG,1699908453
323,launceston,-41.45,147.1667,12.11,71,90,0.0,AU,1699908454
324,bayganin,48.6947,55.8742,5.39,74,100,8.55,KZ,1699908454
325,lepsy,46.235,78.9456,3.12,72,32,0.83,KZ,1699908454
326,navirai,-23.065,-54.1906,30.46,53,65,2.75,BR,1699908454
327,kolondieba,11.0882,-6.8926,26.43,14,0,1.73,ML,1699908454
328,kapuskasing,49.4169,-82.4331,2.0,87,100,6.17,CA,1699908455
329,rongelap,11.1635,166.8941,27.97,85,100,8.61,MH,1699908455
330,mollendo,-17.0231,-72.0147,19.73,78,67,3.78,PE,1699908455
331,kodinsk,58.6881,99.1844,0.8,98,100,4.16,RU,1699908455
332,ubari,26.5921,12.7805,20.08,42,0,3.23,LY,1699908455
333,tokar,18.4254,37.729,29.07,71,8,4.05,SD,1699908456
334,la'ie,21.6477,-157.9253,28.98,64,98,4.47,US,1699908456
335,margate,51.3813,1.3862,13.28,77,5,7.15,GB,1699908456
336,kruisfontein,-34.0033,24.7314,13.48,82,87,3.66,ZA,1699908456
337,wanlaweyn,2.6185,44.8938,26.03,85,96,2.75,SO,1699908457
338,slave lake,55.2834,-114.769,1.99,55,75,1.54,CA,1699908457
339,lagoa,39.05,-27.9833,17.42,78,100,4.94,PT,1699908457
340,amga,60.8953,131.9608,-28.53,100,100,0.94,RU,1699908457
341,dapa,9.7594,126.0531,27.54,80,89,1.58,PH,1699908457
342,taroa,8.7058,171.2275,27.58,82,100,7.32,MH,1699908457
343,avigliana,45.0771,7.3986,13.52,57,22,1.42,IT,1699908457
344,ula,22.7225,88.5556,21.99,83,27,2.57,IN,1699908457
345,kataysk,56.289,62.5841,4.36,81,100,6.64,RU,1699908458
346,nova sintra,14.8667,-24.7167,23.86,72,66,2.77,CV,1699908458
347,vila franca do campo,37.7167,-25.4333,20.23,99,100,1.49,PT,1699908458
348,sennoy,52.1509,46.9631,6.96,81,83,5.55,RU,1699908458
349,callao,-12.0667,-77.15,21.16,73,40,5.66,PE,1699908458
350,pisz,53.6274,21.8125,4.54,86,98,2.81,PL,1699908458
351,deqen,29.9618,90.7188,-2.22,27,15,1.46,CN,1699908458
352,nuuk,64.1835,-51.7216,-4.66,80,20,5.66,GL,1699908459
353,nadym,65.5333,72.5167,-17.98,98,23,2.86,RU,1699908459
354,bima,-8.4667,118.7167,25.07,93,65,1.56,ID,1699908459
355,bikenibeu village,1.3673,173.1241,27.98,89,75,2.06,KI,1699908459
356,tutoia,-2.7619,-42.2744,26.7,82,100,4.92,BR,1699908459
357,saint croix,17.7397,-64.7388,31.25,78,20,6.17,VI,1699908459
358,zaqatala,41.6336,46.6433,15.26,51,56,5.14,AZ,1699908460
359,enewetak,11.3474,162.3373,28.28,80,94,8.75,MH,1699908460
360,san luis de la loma,17.2706,-100.8939,30.46,69,22,3.67,MX,1699908460
361,manistee,44.2445,-86.3242,12.03,50,0,6.69,US,1699908460
362,demba,-5.51,22.2667,19.75,86,88,0.36,CD,1699908460
363,olinda,-8.0089,-34.8553,27.85,74,20,4.12,BR,1699908460
